Date,Open,High,Low,Close,AveragePrice,Total Traded Quantity,Turnover,SMA,EMA
02-Dec-2020,195,198.75,193.55,195.85,195.95,28425948,5575683931.65,192.25,193.593419453856
03-Dec-2020,197.2,197.2,194.55,196.35,196.2,28009042,5485007133.9,192.84,194.378946459676
04-Dec-2020,196.85,199.35,196.5,198.3,198.2,22152332,4390135539.75,193.25,194.985964427854
07-Dec-2020,198.2,203.75,197.6,203.75,203.15,35693450,7195968368.1,194.04,196.057309832839
08-Dec-2020,203.9,204.7,199.55,202.7,202.45,30853963,6240798772.3,194.92,198.421540361405
09-Dec-2020,205,207.8,204.65,205.4,205.4,39684395,8183226956.85,196.35,199.764360509501
10-Dec-2020,206.65,213.65,203.15,213.15,212.7,65227495,13618257111.2,198.57,201.642907382043
11-Dec-2020,214.45,217.95,213.35,216,216.3,60322445,13028507132.3,200.29,205.328605658502
14-Dec-2020,217.95,218.6,215,215.55,215.9,26990063,5846025796.05,203.66,208.985737837094
15-Dec-2020,215.25,216.4,211.6,213.55,213.55,23255609,4963082637.4,207.14,211.290492352347
16-Dec-2020,213.75,215.55,213.5,214.6,214,19551630,4191334801.2,209.55,212.043661718865
17-Dec-2020,214.2,215.1,211.25,212.85,213.05,22386185,4765696375.55,211.32,212.695774609666
18-Dec-2020,213.1,215.95,209.75,214.75,214.5,23775053,5046927933.15,212.94,212.813849763392
21-Dec-2020,214.5,214.7,199.15,202,202.95,41834797,8689854710.35,212.22,213.375899954672
22-Dec-2020,203.1,206.25,196.9,204.2,203.4,40986353,8247088507.5,209.05,209.900599274721
23-Dec-2020,203,208.25,202,207.6,207.75,23695667,4861433487.95,206.11,207.733732416441
24-Dec-2020,210,210.65,205.6,208.25,208.6,22768284,4740014821.05,203.81,207.739154945378
28-Dec-2020,209,210.2,207.85,209.6,209.5,15741000,3292793547.2,202.68,208.026103354309
29-Dec-2020,210.5,213.5,210.1,211.65,211.55,26546469,5620085127.6,202.3,208.517402334465
30-Dec-2020,212.7,213.5,209.55,211,211.15,18925262,3997317224.35,204.49,209.52826842515
31-Dec-2020,210.55,211.3,208.55,209.1,209,18245270,3825391530.55,207.02,210.068845724882
01-Jan-2021,209.9,214.2,209.3,213.9,213.85,19527333,4141864682.9,208.33,209.712563745332
04-Jan-2021,214,216,212.1,213.9,213.4,26891799,5761671016.1,209.07,211.091709439384
05-Jan-2021,212.45,213.25,210.6,211.75,211.45,18024083,3812279051.1,209.92,211.861139780142
06-Jan-2021,211.45,211.5,204.5,205.3,205.4,49067837,10162278633.65,210.02,211.724093159352
07-Jan-2021,206.1,207.6,202.1,203.25,202.8,34952401,7127409107,209.01,209.616061684628
08-Jan-2021,204.35,206,200.25,202.1,201.5,56427360,11439843997.5,207.72,207.344040668681
11-Jan-2021,204,206.1,201.25,202.65,202.5,42970983,8729643633.05,205.91,205.396026722852
12-Jan-2021,203,206.9,201.6,206.5,206.45,35617404,7280038737.7,203.74,204.430684288833
13-Jan-2021,207.45,213,205.25,211.2,211.25,63925996,13433736685.45,201.94,205.103789660509
14-Jan-2021,212,216.5,211.6,214.1,214.15,48304263,10353108933.6,202.09,207.152526850087
15-Jan-2021,214.9,218.5,211.2,217.9,217.85,58321158,12586267200.95,203.99,209.485018366556
18-Jan-2021,218.4,222,214.6,218.05,219.75,67607822,14801462308.45,206.18,212.27334613537
19-Jan-2021,221,221.7,217.5,218.95,218.85,31785089,6973555286.95,208.85,214.76556458869
20-Jan-2021,218.5,219,215.7,217.2,217.65,44672447,9711214712.75,212.03,216.127043331422
21-Jan-2021,219,219.5,212.2,215.15,213.7,28999164,6274901671.35,214.12,216.634695655812
22-Jan-2021,214,214.75,209.15,211.2,210.7,24712182,5226356343.45,214.24,215.656463574895
25-Jan-2021,212,212.5,206.85,208.15,207.8,24967899,5219403902.9,213.83,214.004308719499
27-Jan-2021,208,212.65,207.1,210.75,210.65,48471357,10212257634.8,212.28,211.936205399379
28-Jan-2021,209.25,211,205.75,206.85,206.6,22131983,4608395814.05,210.2,211.507470180506
29-Jan-2021,208.55,208.8,202.35,203.25,203.25,23764654,4875283664.6,208.21,209.871646459839
01-Feb-2021,204,217.95,201.8,216.55,215.95,57744414,12196982212.75,206.24,207.664430531783
02-Feb-2021,220,223.5,217,218.45,218.2,48457781,10649036226.35,204.77,210.42628757356
03-Feb-2021,221.5,222,215.7,216.55,216.75,53643263,11682198818.4,206.8,213.017525567287
04-Feb-2021,216.1,231.4,216,230.05,229.95,105818897,23873768831.5,208.52,214.261683960357
05-Feb-2021,232.15,238.85,227.25,233.75,234.35,125490301,29336354117.15,210.57,219.491123686125
08-Feb-2021,237.5,238.05,231.5,233.45,233.1,41495834,9720439291.5,215.55,224.444083448009
09-Feb-2021,234.6,239.2,228.2,228.8,229,70655961,16450399463.85,221.49,227.3293895424
10-Feb-2021,229,231.1,223.1,228.2,227.55,47283127,10749558710.7,223.73,227.886259806308
11-Feb-2021,229,229.3,224.5,226.6,226.45,43631374,9886067688.2,225.21,227.774173181788
